Date,Daily Close,Daily Returns,% Change ,Volatility ,Annualised Volatility,,
11-08-2025,1.16751,0.001678786,0.167878648,0.090212821,1.432084135,,
12-08-2025,1.16947,0.00300991,0.300991047,0.090580464,1.437920284,,
13-08-2025,1.17299,-0.002046053,-0.204605325,0.090951348,1.443807884,,
14-08-2025,1.17059,0.000768843,0.076884306,0.091330916,1.449833348,,
15-08-2025,1.17149,-7.68252E-05,-0.007682524,0.091713269,1.455903018,,
17-08-2025,1.1714,-0.000358545,-0.035854533,0.092101155,1.46206051,,
18-08-2025,1.17098,-0.001511554,-0.151155442,0.092494222,1.468300252,,
19-08-2025,1.16921,-0.001650687,-0.165068722,0.092893189,1.474633661,,
20-08-2025,1.16728,-0.000950929,-0.095092865,0.093297456,1.481051204,,
21-08-2025,1.16617,0.006842913,0.684291313,0.09370656,1.487545516,,
22-08-2025,1.17415,-0.001345654,-0.13456543,0.094112408,1.49398816,,
24-08-2025,1.17257,-0.000503168,-0.050316825,0.094532691,1.500659955,,
25-08-2025,1.17198,-0.004778239,-0.477823854,0.094958007,1.507411637,,
26-08-2025,1.16638,-0.000857354,-0.085735352,0.095391745,1.514297006,,
27-08-2025,1.16538,0.003706945,0.370694537,0.095829112,1.52123999,,
28-08-2025,1.1697,0.000777977,0.077797726,0.096267849,1.528204718,,
29-08-2025,1.17061,0.000666319,0.066631927,0.096715968,1.535318388,,
31-08-2025,1.17139,0.001869574,0.186957375,0.097170514,1.542534087,,
01-09-2025,1.17358,-0.00254776,-0.254775985,0.097630254,1.549832237,,
02-09-2025,1.17059,-0.002135675,-0.213567517,0.098100626,1.557299163,,
03-09-2025,1.16809,-0.000590708,-0.059070791,0.098577564,1.564870319,,
04-09-2025,1.1674,0.007255439,0.725543944,0.099060236,1.572532499,,
05-09-2025,1.17587,-0.003452763,-0.345276264,0.099539671,1.580143282,,
07-09-2025,1.17181,0.005026412,0.502641213,0.100039015,1.588070123,,
08-09-2025,1.1777,0.000220769,0.02207693,0.100536606,1.595969139,,
09-09-2025,1.17796,-0.004261605,-0.426160481,0.101048003,1.604087314,,
10-09-2025,1.17294,0.001278838,0.127883779,0.101571092,1.612391096,,
11-09-2025,1.17444,0.000238411,0.02384115,0.102097317,1.620744657,,
12-09-2025,1.17472,-0.001098134,-0.109813402,0.102633022,1.629248715,,
14-09-2025,1.17343,0.004422931,0.442293107,0.103178669,1.637910588,,
15-09-2025,1.17862,0.007703925,0.770392493,0.103725933,1.646598145,,
16-09-2025,1.1877,0.002887935,0.288793466,0.104276111,1.65533195,,
17-09-2025,1.19113,-0.005339468,-0.533946756,0.104843526,1.664339378,,
18-09-2025,1.18477,-0.004929227,-0.492922677,0.105429084,1.673634817,,
19-09-2025,1.17893,-0.003537106,-0.353710568,0.106024294,1.683083491,,
21-09-2025,1.17476,0.006035275,0.603527529,0.106628634,1.692677093,,
22-09-2025,1.18185,-1.69226E-05,-0.001692262,0.107230199,1.702226645,,
23-09-2025,1.18183,-0.001201526,-0.120152645,0.107851781,1.712093947,,
24-09-2025,1.18041,-0.004303589,-0.430358943,0.108485756,1.72215798,,
25-09-2025,1.17533,-0.003973352,-0.397335216,0.109134182,1.732451424,,
26-09-2025,1.17066,0.001913451,0.191345053,0.109794088,1.742927113,,
28-09-2025,1.1729,0.002063262,0.2063262,0.110458811,1.753479269,,
29-09-2025,1.17532,0.000629616,0.062961576,0.111135513,1.764221582,,
30-09-2025,1.17606,0.001351972,0.135197184,0.111827054,1.775199452,,
01-10-2025,1.17765,-0.001579417,-0.157941663,0.112530542,1.786366981,,
02-10-2025,1.17579,-5.95344E-05,-0.005953444,0.113251753,1.79781584,,
03-10-2025,1.17572,-0.002270949,-0.227094887,0.113984878,1.809453843,,
05-10-2025,1.17305,-0.000298368,-0.02983675,0.114735505,1.821369676,,
06-10-2025,1.1727,-0.001696939,-0.169693869,0.115498391,1.833480116,,
07-10-2025,1.17071,-0.00509947,-0.509946955,0.116278754,1.845867988,,
08-10-2025,1.16474,4.2928E-05,0.004292804,0.117079265,1.858575716,,
09-10-2025,1.16479,-0.001596854,-0.159685437,0.117889666,1.871440431,,
10-10-2025,1.16293,-0.00016338,-0.016338043,0.118719729,1.884617268,,
12-10-2025,1.16274,0.000172007,0.01720075,0.119565277,1.898039931,,
13-10-2025,1.16294,-0.00030956,-0.030956025,0.120428566,1.911744223,,
14-10-2025,1.16258,0.004214764,0.421476372,0.121311687,1.925763324,,
15-10-2025,1.16748,0.003169219,0.316921917,0.122205137,1.939946412,,
16-10-2025,1.17118,0.001289298,0.128929797,0.123121072,1.954486426,,
17-10-2025,1.17269,-0.004835037,-0.483503739,0.124062075,1.969424379,,
19-10-2025,1.16702,0.000437011,0.043701051,0.125035702,1.984880227,,
20-10-2025,1.16753,-0.003374646,-0.337464562,0.126023498,2.000561012,,
21-10-2025,1.16359,-0.001185985,-0.118598475,0.127042224,2.016732781,,
22-10-2025,1.16221,-7.74387E-05,-0.007743867,0.128082103,2.033240359,,
23-10-2025,1.16212,0.002134031,0.213403091,0.129145642,2.050123512,,
24-10-2025,1.1646,9.4453E-05,0.009445303,0.130230913,2.067351648,,
26-10-2025,1.16471,0.001725751,0.172575147,0.131348968,2.085100227,,
27-10-2025,1.16672,8.57104E-05,0.008571037,0.132492299,2.103250049,,
28-10-2025,1.16682,-0.000308531,-0.030853088,0.133670171,2.121948188,,
29-10-2025,1.16646,-0.00267476,-0.267475953,0.134880997,2.141169453,,
30-10-2025,1.16334,-0.004882494,-0.488249351,0.136130862,2.161010435,,
31-10-2025,1.15766,-0.003420693,-0.342069347,0.137420709,2.18148612,,
02-11-2025,1.1537,0.000329375,0.032937505,0.138744897,2.202506954,,
03-11-2025,1.15408,-0.000719188,-0.071918758,0.140098669,2.223997425,,
04-11-2025,1.15325,-0.002072404,-0.207240408,0.141495796,2.246176134,,
05-11-2025,1.15086,0.003788471,0.378847123,0.142939242,2.269090118,,
06-11-2025,1.15522,0.003254791,0.32547913,0.14440943,2.292428637,,
07-11-2025,1.15898,-0.002372776,-0.237277606,0.14592787,2.316533125,,
09-11-2025,1.15623,0.001721111,0.172111085,0.147513772,2.341708535,,
10-11-2025,1.15822,0.001916734,0.19167343,0.149139114,2.367510038,,
11-11-2025,1.16044,-0.000603219,-0.060321947,0.150818656,2.39417194,,
